Experiment,Metabolite,Concentration_ASICS_FID,Concentration_ASICS_CSV,Concentration_GS,Diff_FID_GS,Diff_CSV_GS,Diff_FID_CSV,Error_FID_Pct,Error_CSV_Pct
01RCF,"1,3-Diaminopropane",606.74350085678,6452.98266689282,0.0,606.74350085678,6452.98266689282,5846.23916603604,,
01RCF,1-Methyl-L-Histidine,0.0,425.657294247498,0.0,0.0,425.657294247498,425.657294247498,,
01RCF,1-Methylhydantoin,204.553443628397,2045.00645340238,0.0,204.553443628397,2045.00645340238,1840.453009773983,,
01RCF,2-AminoAdipate,1043.94195449711,4919.37301490738,0.0,1043.94195449711,4919.37301490738,3875.43106041027,,
01RCF,2-Aminobutyrate,0.0,835.539367064388,0.0,0.0,835.539367064388,835.539367064388,,
01RCF,2-Deoxyadenosine,0.0,312.983676534088,0.0,0.0,312.983676534088,312.983676534088,,
01RCF,2-Deoxycytidine,0.0,7822.71091817544,0.0,0.0,7822.71091817544,7822.71091817544,,
01RCF,2-Deoxyguanosine,0.0,1585.39090882607,0.0,0.0,1585.39090882607,1585.39090882607,,
01RCF,2-HydroxyphenylAcetate,0.0,405.707713298014,0.0,0.0,405.707713298014,405.707713298014,,
01RCF,2-Methylglutarate,0.0,703.702182905656,0.0,0.0,703.702182905656,703.702182905656,,
01RCF,2-Oxobutyrate,248.969280078588,488.709354602632,0.0,248.969280078588,488.709354602632,239.740074524044,,
01RCF,2-Oxoglutarate,432.886533828125,2928.9821575696,165.2,267.686533828125,2763.7821575696003,2496.0956237414753,162.03785340685533,1672.991620804843
01RCF,2-Oxoisovalerate,0.0,531.627953151227,0.0,0.0,531.627953151227,531.627953151227,,
01RCF,2-Picolinate,0.0,62.3009428995943,0.0,0.0,62.3009428995943,62.3009428995943,,
01RCF,2-Propanol,102.27062437868,2151.09567720965,0.0,102.27062437868,2151.09567720965,2048.82505283097,,
01RCF,3-Hydroxybutyrate,0.0,2338.61638093897,122.6,122.6,2216.01638093897,2338.61638093897,100.0,1807.5174395913298
01RCF,3-HydroxyphenylAcetate,0.0,645.825609721457,0.0,0.0,645.825609721457,645.825609721457,,
01RCF,3-Methyladipate,256.327531963638,1619.1351334979,0.0,256.327531963638,1619.1351334979,1362.807601534262,,
01RCF,3-Methylxanthine,0.0,808.223973344141,0.0,0.0,808.223973344141,808.223973344141,,
01RCF,3-PhenylPropionate,316.109415381891,2868.93193899826,0.0,316.109415381891,2868.93193899826,2552.8225236163694,,
01RCF,4-AminoHippurate,494.881671294419,711.14798425445,0.0,494.881671294419,711.14798425445,216.26631296003097,,
01RCF,4-EthylPhenol,166.684218055422,1320.08549515962,0.0,166.684218055422,1320.08549515962,1153.401277104198,,
01RCF,4-HydroxyphenylAcetate,0.0,2113.29123954202,0.0,0.0,2113.29123954202,2113.29123954202,,
01RCF,5-AminoValerate,0.0,1548.1178712071,0.0,0.0,1548.1178712071,1548.1178712071,,
01RCF,7-Methylxanthine,0.0,279.221477358613,0.0,0.0,279.221477358613,279.221477358613,,
01RCF,ATP,0.0,118.374554846858,0.0,0.0,118.374554846858,118.374554846858,,
01RCF,Acetaminophen,0.0,242.47574867394,0.0,0.0,242.47574867394,242.47574867394,,
01RCF,Acetate,0.0,1179.84966304064,160.9,160.9,1018.9496630406401,1179.84966304064,100.0,633.2813319084152
01RCF,Acetoacetate,166.970853930203,618.45671102571,83.5,83.47085393020299,534.95671102571,451.48585709550696,99.96509452718921,640.6667197912694
01RCF,Acetone,47.0107028084248,58.3641687247222,29.7,17.310702808424804,28.6641687247222,11.353465916297395,58.285194641160956,96.51235260849226
01RCF,Adenine,0.0,383.074578132574,0.0,0.0,383.074578132574,383.074578132574,,
01RCF,Adipate,0.0,539.506925597276,0.0,0.0,539.506925597276,539.506925597276,,
01RCF,Allantoin,0.0,1832.79309525385,0.0,0.0,1832.79309525385,1832.79309525385,,
01RCF,Argininosuccinate,0.0,2754.58112809287,0.0,0.0,2754.58112809287,2754.58112809287,,
01RCF,Azelaate,0.0,37.1319593236383,0.0,0.0,37.1319593236383,37.1319593236383,,
01RCF,Benzoate,0.0,766.905959324048,0.0,0.0,766.905959324048,766.905959324048,,
01RCF,Beta-Alanine,603.635439907151,4885.04310406752,0.0,603.635439907151,4885.04310406752,4281.40766416037,,
01RCF,Betaine,54.2104474216736,8590.68049024339,179.1,124.8895525783264,8411.58049024339,8536.470042821717,69.73174348315266,4696.583188298933
01RCF,CDP,0.0,2.33723086837575,0.0,0.0,2.33723086837575,2.33723086837575,,
01RCF,CMP,0.0,867.535092796321,0.0,0.0,867.535092796321,867.535092796321,,
01RCF,CTP,0.0,184.032243425324,0.0,0.0,184.032243425324,184.032243425324,,
01RCF,Cadaverine,238.251046843792,3531.92276407892,0.0,238.251046843792,3531.92276407892,3293.6717172351277,,
01RCF,CholineChloride,173.274266673989,602.25966780528,0.0,173.274266673989,602.25966780528,428.9854011312909,,
