Biofluido,Experimento,Metodo,N_Metabolitos_ASICS,N_Metabolitos_GS,N_Metabolitos_Pareados,Cobertura (%),Identificados_GS (%),Pearson_r,Pearson_p,Spearman_r,Spearman_p,MAE,MSE,MAPE,Bias
Soro,1_1H,CSV,141,41,35,343.9,85.37,0.909416,0.0,0.581235,4.4e-05,180.7418,179966.4966,688.1651,171.6025
Soro,20_1H,CSV,133,41,36,324.39,87.8,0.971318,0.0,0.810839,0.0,525.0431,1419988.6683,1113.042,521.8803
Soro,2_1H,CSV,147,43,37,341.86,86.05,0.898289,0.0,0.698704,0.0,240.1682,277804.4829,641.1163,235.6926
Soro,4_1H,CSV,134,43,34,311.63,79.07,0.839242,0.0,0.58174,4.3e-05,195.837,181778.0236,584.1188,185.0461
Soro,5_1H,CSV,138,43,36,320.93,83.72,0.941695,0.0,0.652795,2e-06,1031.9392,7434522.5965,2901.6855,1025.7982
Soro,6_1H,CSV,146,42,37,347.62,88.1,0.841881,0.0,0.619901,9e-06,632.8895,2012198.4502,1562.224,626.3487
Urina,01RCF_csv,CSV,172,46,45,373.91,97.83,0.953136,0.0,0.695591,0.0,6492.1867,251499639.5433,1635.495,6429.9459
Urina,01RCF_fid,FID,105,42,31,250.0,73.81,0.847112,0.0,0.500633,0.000734,857.3931,8226977.2823,146.411,-519.5393
Urina,02RCF_csv,CSV,167,46,43,363.04,93.48,0.979675,0.0,0.793746,0.0,14113.1968,2490691109.3937,2273.6195,14108.4403
Urina,02RCF_fid,FID,112,42,37,266.67,88.1,0.974202,0.0,0.627281,9e-06,687.4232,2131699.9808,250.8233,481.5682
Urina,03RCF_csv,CSV,166,46,42,360.87,91.3,0.969827,0.0,0.411351,0.004511,4503.5554,297036243.0853,1534.8854,4394.6914
Urina,03RCF_fid,FID,113,42,32,269.05,76.19,0.97302,0.0,0.624968,1e-05,623.0155,2453498.4417,320.7204,460.2611
Urina,04RCF_csv,CSV,169,45,42,375.56,93.33,0.077265,0.609788,0.547524,8.2e-05,479.4515,3448598.869,231.1801,-163.6537
Urina,04RCF_fid,FID,5,42,3,11.9,7.14,0.988403,0.0,0.293776,0.058981,400.2093,2389941.7635,106.4055,-386.4062
Urina,05RCF_csv,CSV,172,46,40,373.91,86.96,0.989119,0.0,0.453973,0.00153,9177.7378,1734314648.2369,3727.9258,9125.2334
Urina,05RCF_fid,FID,101,42,27,240.48,64.29,0.9896,0.0,0.539841,0.000225,629.5781,4169074.6865,320.6827,516.0633
