Biofluido,Metabolite,Mean_ASICS,Mean_GS,Relative_Error_Pct,MAE,MSE
Soro,2-Aminobutyrate,736.5738,6.4167,11379.07,730.1571,661568.9685
Soro,2-Hydroxybutyrate,21.3028,13.8167,54.18,23.9528,867.4106
Soro,2-Oxoglutarate,74.8687,2.4667,2935.22,74.2354,11056.4305
Soro,3-Hydroxybutyrate,275.4822,22.0333,1150.3,253.4489,83861.4673
Soro,Acetate,4.7952,13.9833,65.71,11.5738,160.1435
Soro,Acetoacetate,46.8155,4.35,976.22,42.4655,3210.5325
Soro,Acetone,14.2831,3.2833,335.02,10.9998,240.9593
Soro,Alanine,255.2815,120.7833,111.35,148.7068,57121.3017
Soro,Arginine,654.0604,49.45,1222.67,604.6104,693930.7254
Soro,Asparagine,5.6422,14.25,60.41,14.8922,237.2906
Soro,Aspartate,132.5963,14.2167,832.68,118.3796,18698.6941
Soro,Benzoate,39.4112,6.55,501.7,33.4256,2091.7374
Soro,Betaine,115.5188,11.3333,919.28,104.1855,26300.4946
Soro,Carnitine,398.2331,11.8833,3251.19,386.3498,191510.1041
Soro,Citrate,336.0136,36.2333,827.36,299.7803,171975.0538
Soro,Creatine,28.2074,9.5667,194.85,18.6407,573.8647
Soro,Creatinine,0.8023,18.2667,95.61,17.4644,317.1015
Soro,Formate,43.5218,5.9167,635.58,37.8084,2291.0739
Soro,Glucose,7212.6214,1220.3,491.05,5992.3214,59842068.0501
Soro,Glutamate,1615.3457,88.35,1728.35,1526.9957,3489018.4208
Soro,Glutamine,1677.3167,164.8833,917.27,1512.4334,2973761.2162
Soro,Glycerol,632.8359,75.8667,734.14,556.9692,495852.7547
Soro,Glycine,517.1402,91.2167,466.94,442.5899,450560.1093
Soro,Histidine,1.1898,26.9833,95.59,25.7935,676.687
Soro,Hypoxanthine,1.0143,2.4167,58.03,1.4741,3.1673
Soro,Inosine,0.631,1.1,42.64,0.469,0.5492
Soro,Isoleucine,176.6853,20.1,779.03,156.5853,31997.8097
Soro,Lactate,2062.5487,657.4167,213.74,1405.132,4577291.8876
Soro,Leucine,532.1156,40.7167,1206.87,491.3989,305183.2857
Soro,Lysine,476.0671,49.8667,854.68,426.2004,208809.7125
Soro,Mannose,362.1464,18.1667,1893.47,349.7464,211267.703
Soro,Methanol,521.4054,30.9667,1583.76,490.4387,385313.3751
Soro,Methionine,15.1746,8.5333,77.83,21.4746,1257.3689
Soro,Ornithine,215.797,13.3,1522.53,202.497,65917.258
Soro,Phenylalanine,141.8484,23.7167,498.1,118.1317,21418.9458
Soro,Proline,2110.2259,43.2833,4775.38,2066.9425,6715496.9851
Soro,Pyruvate,158.7112,19.9167,696.88,138.7945,36846.0715
Soro,Serine,63.1837,52.4167,20.54,74.667,10300.1228
Soro,Succinate,104.6309,3.5,2889.45,102.0642,18397.0089
Soro,Taurine,574.065,54.5833,951.72,519.4817,460610.0311
Soro,Threonine,301.163,36.2833,730.03,264.8797,101735.976
Soro,Tyrosine,14.6691,18.25,19.62,14.9104,310.3491
Soro,Valine,349.6153,68.9833,406.81,280.632,131412.6138
Urina,2-Oxoglutarate,1672.1455,133.68,1150.86,1563.9855,6014656.4801
Urina,3-Hydroxybutyrate,694.2656,53.32,1202.07,685.2456,1204093.1384
Urina,Acetate,369.6137,89.74,311.87,358.8616,513806.1926
Urina,Acetoacetate,386.1777,51.26,653.37,343.8438,261535.9204
Urina,Acetone,133.9975,28.78,365.59,111.1039,28800.6352
Urina,Alanine,982.7347,300.64,226.88,714.2899,1453171.4276
Urina,Asparagine,2415.0586,248.96,870.06,2188.6586,10533695.1627
Urina,Betaine,3031.9587,113.62,2568.51,3024.9693,24724285.9516
Urina,Carnitine,840.5253,86.06,876.67,770.6453,1974124.299
Urina,Carnosine,2262.2743,213.44,959.91,2057.3143,24201165.9412
Urina,Citrate,2549.7971,1750.08,45.7,1666.6493,6898754.4488
