Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS,Diferenca_Absoluta,Erro_Percentual
Soro,1_1H,Serine,HMDB00187,0.0,45.2,45.2,100.0
Soro,1_1H,Methionine,HMDB00696,0.0,7.7,7.7,100.0
Soro,1_1H,2-Hydroxybutyrate,,0.0,10.4,10.4,100.0
Soro,1_1H,Creatinine,HMDB00562,0.0,17.8,17.8,100.0
Soro,1_1H,Asparagine,HMDB00168,0.0,13.2,13.2,100.0
Soro,1_1H,Histidine,HMDB00177,0.0,25.2,25.2,100.0
Soro,1_1H,Hypoxanthine,HMDB00157,0.215230725324055,0.0,0.215230725324055,
Soro,1_1H,Fumarate,,0.340253764253065,,,
Soro,1_1H,Nicotinurate,,0.373939926640473,,,
Soro,1_1H,Sarcosine,,0.587809682404206,,,
Soro,1_1H,2-Picolinate,,0.651665606634424,,,
Soro,1_1H,Uridine,HMDB00296,0.696631043336979,,,
Soro,1_1H,ATP,,0.789337562519016,,,
Soro,1_1H,Cytosine,,0.834544868454243,,,
Soro,1_1H,Adenine,,0.970143421134985,,,
Soro,1_1H,Tyrosine,HMDB00158,0.988427766715709,16.6,15.611572233284292,94.05
Soro,1_1H,Tartarate,,1.23789789161485,,,
Soro,1_1H,Quinolinate,,1.48905196263439,,,
Soro,1_1H,dAMP,,1.61452179219807,,,
Soro,1_1H,Dimethylglycine,,1.76707934052687,,,
Soro,1_1H,Pimelate,,1.99843323115525,,,
Soro,1_1H,Formate,HMDB00142,2.09015733832056,2.7,0.6098426616794401,22.59
Soro,1_1H,Dimethylamine,HMDB00087,2.21983166131483,,,
Soro,1_1H,Isobutyrate,,2.22762096848615,,,
Soro,1_1H,Kynurenate,,2.427194799899,,,
Soro,1_1H,Glutaconate,,2.43004324589594,,,
Soro,1_1H,Acetate,HMDB00042,2.71431397187705,24.8,22.08568602812295,89.06
Soro,1_1H,Oxypurinol,,2.82295189420792,,,
Soro,1_1H,Long-chain_alkane,,2.91925860157586,,,
Soro,1_1H,2-HydroxyphenylAcetate,,3.22839568289599,,,
Soro,1_1H,Citraconate,,3.5444552432005,,,
Soro,1_1H,Carnosine,HMDB00033,3.55167354869461,,,
Soro,1_1H,N-Acetyl-L-Aspartate,,3.61215951612477,,,
Soro,1_1H,Trimethylamine,,3.71282990594555,,,
Soro,1_1H,beta-Hydroxyisovalerate,,3.98845929691143,,,
Soro,1_1H,Fructose,HMDB00660,4.02485316016968,,,
Soro,1_1H,Acetone,HMDB01659,4.10037267738615,2.8,1.3003726773861501,46.44
Soro,1_1H,Pyrocatechol,,4.30527376284056,,,
Soro,1_1H,2-Methylglutarate,,4.68657538294339,,,
Soro,1_1H,3-HydroxyphenylAcetate,,4.69812607766898,,,
Soro,1_1H,Propionate,,5.35072913253852,,,
Soro,1_1H,1-Methylhydantoin,,5.94699707403737,,,
Soro,1_1H,Methylguanidine,,6.03689058988817,,,
Soro,1_1H,2-Oxoisovalerate,,6.05662366382415,,,
Soro,1_1H,Methylamine,,6.33955857233311,,,
Soro,1_1H,1-Methyl-L-Histidine,,6.56432829041155,,,
Soro,1_1H,trans-Ferulate,,9.46799477937385,,,
Soro,1_1H,Azelaic ate,,10.4901892326758,,,
Soro,1_1H,Acetaminophen,,10.8129234795567,,,
Soro,1_1H,Dimethylsulfone,,11.7339420355635,,,
Soro,1_1H,Malate,,13.0606659963176,,,
Soro,1_1H,O-Acetyl-L-Carnitine,,15.1800615082779,,,
Soro,1_1H,Acetoacetate,HMDB00060,15.2187785921052,3.3,11.918778592105202,361.18
Soro,1_1H,Phenylglyoxylate,,16.0103710638602,,,
Soro,1_1H,Glutarate,,16.7460018061632,,,
Soro,1_1H,Mandelate,,17.4361131185841,,,
Soro,1_1H,Isovalerate,,17.5459943161054,,,
Soro,1_1H,Creatine,HMDB00064,17.6105112355092,15.6,2.0105112355092007,12.89
Soro,1_1H,Anserine,,18.0071842658967,,,
Soro,1_1H,3-PhenylPropionate,,20.9566764515119,,,
Soro,1_1H,4-AminoHippurate,,23.3826915335934,,,
Soro,1_1H,Trans-Acotinate,,23.5790466400921,,,
Soro,1_1H,Benzoate,,23.9299035924576,3.2,20.7299035924576,647.81
Soro,1_1H,4-EthylPhenol,,25.3167394513526,,,
Soro,1_1H,Sebacate,,25.414276305917,,,
Soro,1_1H,Beta-Alanine,,25.7713990512534,,,
Soro,1_1H,2-Oxobutyrate,,25.8509369396327,,,
Soro,1_1H,Adipate,,29.0510406337007,,,
Soro,1_1H,Phenylalanine,,29.6427584516777,21.4,8.242758451677702,38.52
Soro,1_1H,Hippurate,HMDB00714,30.2789296246294,,,
Soro,1_1H,Threitol,,30.8558058652253,,,
Soro,1_1H,Syringate,,31.3604806904393,,,
Soro,1_1H,Betaine,HMDB00043,31.8244555830527,6.6,25.224455583052702,382.19
Soro,1_1H,Maltose,,36.9192604276974,,,
Soro,1_1H,Valerate,,37.8279840885888,,,
Soro,1_1H,Uracil,HMDB00300,39.2883075718885,,,
Soro,1_1H,Glycerophosphocholine,,39.6785353380581,,,
Soro,1_1H,Ethylmalonate,,40.6396225455245,,,
Soro,1_1H,Pyruvate,HMDB00243,40.8233219177675,14.5,26.3233219177675,181.54
Soro,1_1H,alpha-Hydroxyisobutyrate,,41.0113589511485,,,
Soro,1_1H,Tryptophan,HMDB00929,43.3987257569548,,,
Soro,1_1H,Phenethylamine,,43.735786824292,,,
Soro,1_1H,Galactose,,44.309834786076,,,
Soro,1_1H,Glycogen,,44.4429578786127,,,
Soro,1_1H,Indoxylsulfate,,45.3727589337841,,,
Soro,1_1H,GABA,,45.8764453143184,,,
Soro,1_1H,"1,3-Diaminopropane",,48.6599322238338,,,
Soro,1_1H,Aspartate,,49.5243280786287,11.0,38.5243280786287,350.22
Soro,1_1H,Fucose,HMDB00174,50.3828313863758,,,
Soro,1_1H,2-Propanol,,52.8161479641483,,,
Soro,1_1H,Succinate,HMDB00254,52.8954599973986,4.1,48.7954599973986,1190.13
Soro,1_1H,Ornithine,,55.5788202880431,13.1,42.478820288043096,324.27
Soro,1_1H,trans-4-Hydroxy-L-Proline,,58.8194212193487,,,
Soro,1_1H,Pantothenate,HMDB00210,60.2409433241426,,,
Soro,1_1H,Saturated_fattty_acids,,62.9091556897401,,,
Soro,1_1H,Isocitrate,,63.6886270380789,,,
Soro,1_1H,DehydroAscorbate,,65.2061208038257,,,
Soro,1_1H,3-Methylxanthine,,66.837743882022,,,
Soro,1_1H,7-Methylxanthine,,67.3710838484975,,,
Soro,1_1H,CholineChloride,,68.1646700820944,,,
Soro,1_1H,Hypotaurine,,75.5006739164321,,,
Soro,1_1H,3-Methyl-L-Histidine,,76.7755286005286,,,
Soro,1_1H,Alanine,HMDB00161,78.2007721999727,101.6,23.39922780002729,23.03
