Biofluido,Experimento,Metodo,N_Metabolitos_MagMet,N_Metabolitos_GS,N_Metabolitos_Pareados,Cobertura (%),Identificados_GS (%),Pearson_r,Pearson_p,Spearman_r,Spearman_p,MAE,MSE,MAPE,Bias
Soro,10_1H,MagMet,11,0,0,,,,,,,,,,
Soro,11_1H,MagMet,11,0,0,,,,,,,,,,
Soro,12_1H,MagMet,8,0,0,,,,,,,,,,
Soro,1_1H,MagMet,9,41,7,21.95,17.07,-0.0177207396441028,0.9101992144694487,-0.11469462329063411,0.4639472040449518,73.6093023255814,49271.954418604655,131.96580095845582,-63.17674418604652
Soro,20_1H,MagMet,10,41,8,24.39,19.51,-0.017389603583088283,0.9118706136442181,-0.2316039017997426,0.13507665244046593,96.84651162790699,56537.81162790697,334.1057705697839,-41.14418604651162
Soro,2_1H,MagMet,10,43,8,23.26,18.6,-0.013611341181236086,0.9309661235870114,-0.18098238117867163,0.2454664788947773,206.35813953488372,371416.6623255813,851.911155832835,67.56744186046512
Soro,4_1H,MagMet,10,43,7,23.26,16.28,0.060899654423619554,0.6980614617923296,-0.2087759271880206,0.1790926461036945,120.84883720930235,88524.98395348836,369.4079206859625,-15.904651162790698
Soro,5_1H,MagMet,33,43,25,76.74,58.14,-0.07735401820282697,0.6219864026625056,0.11580558675897122,0.4596006718035506,128.95116279069768,89838.43418604652,430.06633179231414,18.337209302325576
Soro,6_1H,MagMet,12,42,10,28.57,23.81,0.03872819775602336,0.8052434897545168,-0.12901654971431484,0.40963129368369455,79.20232558139536,53165.60069767441,87.37830716753851,-78.83953488372093
Soro,7_1H,MagMet,11,0,0,,,,,,,,,,
Soro,9_1H,MagMet,8,0,0,,,,,,,,,,
