Metabolite,Metodo,N_Experimentos,Pearson_r,MAE,Rel_MAE_%,Avg_GS
2-Aminobutyrate,MagMet,6,,6.416666666666667,100.0,6.416666666666667
2-Hydroxybutyrate,MagMet,6,,13.816666666666668,100.0,13.816666666666668
2-Oxoglutarate,MagMet,6,,2.466666666666667,100.0,2.466666666666667
3-Hydroxybutyrate,MagMet,6,-0.4675170818935197,41.05,186.3086232980333,22.03333333333333
Acetate,MagMet,6,-0.323395183488091,52.53333333333333,375.68533969010724,13.983333333333334
Acetoacetate,MagMet,6,0.1562188597127885,6.066666666666667,139.46360153256705,4.3500000000000005
Acetone,MagMet,6,-0.4067743888919254,33.18333333333334,1010.6598984771574,3.2833333333333337
Alanine,MagMet,6,,120.78333333333335,100.0,120.78333333333335
Arginine,MagMet,6,,49.449999999999996,100.0,49.449999999999996
Asparagine,MagMet,6,-0.7656030269852245,22.23333333333333,156.0233918128655,14.25
Aspartate,MagMet,6,0.10699426177177046,681.0166666666667,4790.269636576787,14.216666666666667
Benzoate,MagMet,6,,6.55,100.0,6.55
Betaine,MagMet,6,0.8605622881698503,8.816666666666668,77.79411764705884,11.333333333333334
Carnitine,MagMet,6,-0.41009648149631844,12.250000000000002,103.08555399719495,11.883333333333335
Citrate,MagMet,6,0.01654799374579713,28.433333333333337,78.47286108555659,36.233333333333334
Creatine,MagMet,6,-0.1400350043044016,98.95,1034.3205574912895,9.566666666666665
Creatinine,MagMet,6,-0.11461557146618469,17.383333333333333,95.16423357664235,18.266666666666666
Formate,MagMet,6,,5.916666666666667,100.0,5.916666666666667
Glucose,MagMet,6,,1220.3000000000002,100.0,1220.3000000000002
Glutamate,MagMet,6,0.033790054813826936,76.01666666666667,86.04036974155818,88.35000000000001
Glutamine,MagMet,6,0.19130325441431004,636.6,386.09117557869206,164.88333333333333
Glycerol,MagMet,6,,75.86666666666667,100.0,75.86666666666667
Glycine,MagMet,6,-0.5670101832313221,134.70000000000002,147.67038187465744,91.21666666666665
Histidine,MagMet,6,-0.348309259609668,60.48333333333334,224.1507103150093,26.983333333333334
Hypoxanthine,MagMet,6,,2.4166666666666665,100.0,2.4166666666666665
Inosine,MagMet,6,,1.0999999999999999,100.0,1.0999999999999999
Isoleucine,MagMet,6,-0.4219608060724144,18.8,93.53233830845772,20.099999999999998
Lactate,MagMet,6,,657.4166666666666,100.0,657.4166666666666
Leucine,MagMet,6,-0.5647055467521045,39.833333333333336,97.8305362259517,40.71666666666667
Lysine,MagMet,6,,49.86666666666667,100.0,49.86666666666667
Mannose,MagMet,6,,18.166666666666668,100.0,18.166666666666668
Methanol,MagMet,6,,30.96666666666667,100.0,30.96666666666667
Methionine,MagMet,6,-0.4989493886980205,8.75,102.5390625,8.533333333333333
Ornithine,MagMet,6,,13.300000000000002,100.0,13.300000000000002
Phenylalanine,MagMet,6,-0.700652847893048,165.75,698.8756148981025,23.71666666666667
Proline,MagMet,6,-0.115819143407553,60.48333333333333,139.73815941470926,43.28333333333333
Pyruvate,MagMet,6,-0.1397106357830697,86.28333333333335,433.2217573221758,19.916666666666664
Serine,MagMet,6,-0.5452550149180501,88.30000000000001,168.45786963434026,52.416666666666664
Succinate,MagMet,6,0.2411632297571212,41.00000000000001,1171.4285714285718,3.5
Taurine,MagMet,6,,54.583333333333336,100.0,54.583333333333336
Threonine,MagMet,6,-0.3365260428145931,97.76666666666667,269.4533762057878,36.28333333333334
Tyrosine,MagMet,6,-0.78555796016184,144.61666666666667,792.4200913242009,18.25
Valine,MagMet,6,-0.4985120884355443,67.66666666666667,98.09132640734477,68.98333333333333
