Biofluido,Experimento,Metodo,N_Metabolitos_ASICS,N_Metabolitos_GS,N_Metabolitos_Pareados,Pearson_r,Pearson_p,Spearman_r,Spearman_p,MAE,MSE,MAPE,Bias
Soro,1_1H,CSV,141,41,35,0.909416,0.0,0.581235,4.4e-05,180.7418,179966.4966,688.1651,171.6025
Soro,2_1H,CSV,147,43,37,0.898289,0.0,0.698704,0.0,240.1682,277804.4829,641.1163,235.6926
Soro,4_1H,CSV,134,43,34,0.839242,0.0,0.58174,4.3e-05,195.837,181778.0236,584.1188,185.0461
Soro,5_1H,CSV,138,43,36,0.941695,0.0,0.652795,2e-06,1031.9392,7434522.5965,2901.6855,1025.7982
Soro,6_1H,CSV,146,42,37,0.841881,0.0,0.619901,9e-06,632.8895,2012198.4502,1562.224,626.3487
Soro,20_1H,CSV,133,41,36,0.971318,0.0,0.810839,0.0,525.0431,1419988.6683,1113.042,521.8803
Urina,01RCF_csv,CSV,172,46,45,0.953136,0.0,0.695591,0.0,6492.1867,251499639.5433,1635.495,6429.9459
Urina,01RCF_fid,FID,105,46,31,0.84594,0.0,0.555404,6.2e-05,787.6502,7511883.1282,142.3753,-479.175
Urina,02RCF_csv,CSV,167,46,43,0.979675,0.0,0.793746,0.0,14113.1968,2490691109.3937,2273.6195,14108.4403
Urina,02RCF_fid,FID,112,46,37,0.974509,0.0,0.678371,0.0,631.0646,1946507.7664,237.7082,436.2753
Urina,03RCF_csv,CSV,166,46,42,0.969827,0.0,0.411351,0.004511,4503.5554,297036243.0853,1534.8854,4394.6914
Urina,03RCF_fid,FID,113,46,32,0.973213,0.0,0.645445,1e-06,573.1424,2240422.7331,301.5273,415.9362
Urina,04RCF_csv,CSV,169,45,42,0.077265,0.609788,0.547524,8.2e-05,479.4515,3448598.869,231.1801,-163.6537
Urina,04RCF_fid,FID,5,45,3,0.988377,0.0,0.295211,0.046398,367.0759,2182174.1321,105.9785,-354.473
Urina,05RCF_csv,CSV,172,46,40,0.989119,0.0,0.453973,0.00153,9177.7378,1734314648.2369,3727.9258,9125.2334
Urina,05RCF_fid,FID,101,46,27,0.989658,0.0,0.570866,3.4e-05,576.6908,3806591.3453,301.4929,469.3296
