Biofluido,Metabolite,Metodo,Mean_ASICS,Mean_GS,Relative_Error_Pct,MAE,MSE
Soro,2-Aminobutyrate,CSV,736.5738,6.4167,11379.07,730.1571,661568.9685
Soro,2-Hydroxybutyrate,CSV,21.3028,13.8167,54.18,23.9528,867.4106
Soro,2-Oxoglutarate,CSV,74.8687,2.4667,2935.22,74.2354,11056.4305
Soro,3-Hydroxybutyrate,CSV,275.4822,22.0333,1150.3,253.4489,83861.4673
Soro,Acetate,CSV,4.7952,13.9833,65.71,11.5738,160.1435
Soro,Acetoacetate,CSV,46.8155,4.35,976.22,42.4655,3210.5325
Soro,Acetone,CSV,14.2831,3.2833,335.02,10.9998,240.9593
Soro,Alanine,CSV,255.2815,120.7833,111.35,148.7068,57121.3017
Soro,Arginine,CSV,654.0604,49.45,1222.67,604.6104,693930.7254
Soro,Asparagine,CSV,5.6422,14.25,60.41,14.8922,237.2906
Soro,Aspartate,CSV,132.5963,14.2167,832.68,118.3796,18698.6941
Soro,Benzoate,CSV,39.4112,6.55,501.7,33.4256,2091.7374
Soro,Betaine,CSV,115.5188,11.3333,919.28,104.1855,26300.4946
Soro,Carnitine,CSV,398.2331,11.8833,3251.19,386.3498,191510.1041
Soro,Citrate,CSV,336.0136,36.2333,827.36,299.7803,171975.0538
Soro,Creatine,CSV,28.2074,9.5667,194.85,18.6407,573.8647
Soro,Creatinine,CSV,0.8023,18.2667,95.61,17.4644,317.1015
Soro,Formate,CSV,43.5218,5.9167,635.58,37.8084,2291.0739
Soro,Glucose,CSV,7212.6214,1220.3,491.05,5992.3214,59842068.0501
Soro,Glutamate,CSV,1615.3457,88.35,1728.35,1526.9957,3489018.4208
Soro,Glutamine,CSV,1677.3167,164.8833,917.27,1512.4334,2973761.2162
Soro,Glycerol,CSV,632.8359,75.8667,734.14,556.9692,495852.7547
Soro,Glycine,CSV,517.1402,91.2167,466.94,442.5899,450560.1093
Soro,Histidine,CSV,1.1898,26.9833,95.59,25.7935,676.687
Soro,Hypoxanthine,CSV,1.0143,2.4167,58.03,1.4741,3.1673
Soro,Inosine,CSV,0.631,1.1,42.64,0.469,0.5492
Soro,Isoleucine,CSV,176.6853,20.1,779.03,156.5853,31997.8097
Soro,Lactate,CSV,2062.5487,657.4167,213.74,1405.132,4577291.8876
Soro,Leucine,CSV,532.1156,40.7167,1206.87,491.3989,305183.2857
Soro,Lysine,CSV,476.0671,49.8667,854.68,426.2004,208809.7125
Soro,Mannose,CSV,362.1464,18.1667,1893.47,349.7464,211267.703
Soro,Methanol,CSV,521.4054,30.9667,1583.76,490.4387,385313.3751
Soro,Methionine,CSV,15.1746,8.5333,77.83,21.4746,1257.3689
Soro,Ornithine,CSV,215.797,13.3,1522.53,202.497,65917.258
Soro,Phenylalanine,CSV,141.8484,23.7167,498.1,118.1317,21418.9458
Soro,Proline,CSV,2110.2259,43.2833,4775.38,2066.9425,6715496.9851
Soro,Pyruvate,CSV,158.7112,19.9167,696.88,138.7945,36846.0715
Soro,Serine,CSV,63.1837,52.4167,20.54,74.667,10300.1228
Soro,Succinate,CSV,104.6309,3.5,2889.45,102.0642,18397.0089
Soro,Taurine,CSV,574.065,54.5833,951.72,519.4817,460610.0311
Soro,Threonine,CSV,301.163,36.2833,730.03,264.8797,101735.976
Soro,Tyrosine,CSV,14.6691,18.25,19.62,14.9104,310.3491
Soro,Valine,CSV,349.6153,68.9833,406.81,280.632,131412.6138
Urina,2-Oxoglutarate,CSV,3086.6522,133.68,2208.99,2952.9722,11981444.05
Urina,2-Oxoglutarate,FID,257.6388,133.68,92.73,174.9988,47868.9101
Urina,3-Hydroxybutyrate,CSV,1312.4507,53.32,2361.46,1259.1307,2381950.4383
Urina,3-Hydroxybutyrate,FID,76.0805,53.32,42.69,111.3605,26235.8385
Urina,Acetate,CSV,665.4653,89.74,641.55,636.541,1018896.6484
Urina,Acetate,FID,73.7621,89.74,17.8,81.1821,8715.7368
Urina,Acetoacetate,CSV,650.9421,51.26,1169.88,607.4143,515434.7134
Urina,Acetoacetate,FID,121.4133,51.26,136.86,80.2733,7637.1273
Urina,Acetone,CSV,213.6137,28.78,642.23,186.7664,56188.3062
Urina,Acetone,FID,54.3814,28.78,88.96,35.4414,1412.9641
Urina,Alanine,CSV,1382.8584,300.64,359.97,1113.8488,2752791.8431
Urina,Alanine,FID,582.611,300.64,93.79,314.731,153551.0121
Urina,Asparagine,CSV,4206.3551,248.96,1589.57,3957.3951,20835128.7437
Urina,Asparagine,FID,623.7621,248.96,150.55,419.9221,232261.5816
Urina,Betaine,CSV,6053.0754,113.62,5227.47,5947.1607,49435945.1871
Urina,Betaine,FID,10.8421,113.62,90.46,102.7779,12626.7161
Urina,Carnitine,CSV,1579.7555,86.06,1735.64,1493.6955,3945053.1348
Urina,Carnitine,FID,101.2952,86.06,17.7,47.5952,3195.4631
Urina,Carnosine,CSV,4054.5953,213.44,1799.64,3841.1553,48244567.4777
Urina,Carnosine,FID,469.9533,213.44,120.18,273.4733,157764.4047
Urina,Citrate,CSV,4216.4464,1750.08,140.93,2466.3664,12607661.2801
Urina,Citrate,FID,883.1478,1750.08,49.54,866.9322,1189847.6175
Urina,Creatine,CSV,5013.5053,300.68,1567.39,4712.8253,49392011.2211
Urina,Creatine,FID,265.3246,300.68,11.76,479.8446,442283.6377
Urina,Creatinine,CSV,175858.9761,15215.42,1055.79,165514.1237,41221662763.1062
Urina,Creatinine,FID,15664.7109,15215.42,2.95,11625.4884,148033650.38
Urina,Dimethylamine,CSV,3373.9445,461.64,630.86,3093.2866,18452186.8829
Urina,Dimethylamine,FID,141.1352,461.64,69.43,345.0351,171340.0903
Urina,Ethanolamine,CSV,8169.7202,559.92,1359.09,7609.8002,86270268.7521
Urina,Ethanolamine,FID,921.3684,559.92,64.55,481.0084,313428.4193
Urina,Formate,CSV,2443.6148,365.98,567.69,2264.468,15445430.2059
Urina,Formate,FID,322.3179,365.98,11.93,121.1187,16950.6602
Urina,Fructose,CSV,3265.4069,306.62,964.97,2958.7869,14527997.0079
Urina,Fructose,FID,572.2292,306.62,86.62,402.6892,200777.5449
Urina,Fucose,CSV,1379.9964,112.8,1123.4,1280.5084,2241835.6819
Urina,Fucose,FID,528.717,112.8,368.72,442.877,239909.4255
Urina,Glucose,CSV,3132.361,306.08,923.38,2916.8951,18180195.9957
Urina,Glucose,FID,352.5169,306.08,15.17,268.6337,83263.4483
Urina,Glutamine,CSV,7125.3643,614.16,1060.18,6574.3303,98454710.5512
Urina,Glutamine,FID,1134.9711,614.16,84.8,630.3711,484925.9436
Urina,Glycine,CSV,19464.5099,1602.44,1114.68,18870.3899,1250688098.3978
Urina,Glycine,FID,1746.8828,1602.44,9.01,880.2028,939947.4444
Urina,Glycolate,CSV,12101.2027,571.3,2018.19,11529.9027,184502577.3204
Urina,Glycolate,FID,563.9776,571.3,1.28,717.1976,918140.2959
Urina,Hippurate,CSV,8132.2318,2076.52,291.63,6525.7087,63209426.2315
Urina,Hippurate,FID,1664.2967,2076.52,19.85,822.0334,926018.2129
Urina,Histidine,CSV,2388.5,1224.64,95.04,1204.2283,2047437.0548
Urina,Histidine,FID,655.6007,1224.64,46.47,975.3551,1104727.2401
Urina,Hypoxanthine,CSV,364.3995,62.48,483.23,305.3404,130238.6031
Urina,Hypoxanthine,FID,45.2686,62.48,27.55,65.1086,6298.9928
