Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS,Metodo,Diferenca_Absoluta,Erro_Percentual
Soro,1_1H,Gluconate,,0.0,,CSV,,
Soro,1_1H,Levoglucosan,,0.0,,CSV,,
Soro,1_1H,Glucose-6-Phosphate,,0.0,,CSV,,
Soro,1_1H,Serine,HMDB00187,0.0,45.2,CSV,45.2,100.0
Soro,1_1H,Pyroglutamate,HMDB00267,0.0,,CSV,,
Soro,1_1H,Saccarate,,0.0,,CSV,,
Soro,1_1H,Methionine,HMDB00696,0.0,7.7,CSV,7.7,100.0
Soro,1_1H,Lactose,,0.0,,CSV,,
Soro,1_1H,2-Hydroxybutyrate,,0.0,10.4,CSV,10.4,100.0
Soro,1_1H,Ethanolamine,HMDB00149,0.0,,CSV,,
Soro,1_1H,S-Acetamidomethylcysteine,,0.0,,CSV,,
Soro,1_1H,Butyrate,HMDB00039,0.0,,CSV,,
Soro,1_1H,Glutathione-oxidized,,0.0,,CSV,,
Soro,1_1H,TMAO,,0.0,,CSV,,
Soro,1_1H,2-Deoxyadenosine,,0.0,,CSV,,
Soro,1_1H,Creatinine,HMDB00562,0.0,17.8,CSV,17.8,100.0
Soro,1_1H,CTP,,0.0,,CSV,,
Soro,1_1H,Urocanate,HMDB00301,0.0,,CSV,,
Soro,1_1H,Homovanillate,,0.0,,CSV,,
Soro,1_1H,Threonate,,0.0,,CSV,,
Soro,1_1H,2-Deoxycytidine,,0.0,,CSV,,
Soro,1_1H,N-(2-Furoyl)Glycine,,0.0,,CSV,,
Soro,1_1H,Asparagine,HMDB00168,0.0,13.2,CSV,13.2,100.0
Soro,1_1H,Levulinate,,0.0,,CSV,,
Soro,1_1H,Vanillate,,0.0,,CSV,,
Soro,1_1H,Allantoin,,0.0,,CSV,,
Soro,1_1H,Glycolate,HMDB00115,0.0,,CSV,,
Soro,1_1H,Histidine,HMDB00177,0.0,25.2,CSV,25.2,100.0
Soro,1_1H,Adenosine,,0.0,,CSV,,
Soro,1_1H,Nicotinate,,0.0,,CSV,,
Soro,1_1H,Malonate,HMDB00691,0.0,,CSV,,
Soro,1_1H,Glutathione-reduced,,0.0,,CSV,,
Soro,1_1H,GDP,,0.0,,CSV,,
Soro,1_1H,Inosine,,0.0,0.0,CSV,0.0,
Soro,1_1H,Trigonelline,HMDB00875,0.0,,CSV,,
Soro,1_1H,NAD,,0.0,,CSV,,
Soro,1_1H,UDPG,,0.0,,CSV,,
Soro,1_1H,AMP,,0.0,,CSV,,
Soro,1_1H,Hypoxanthine,HMDB00157,0.215230725324055,0.0,CSV,0.215230725324055,
Soro,1_1H,Fumarate,,0.340253764253065,,CSV,,
Soro,1_1H,Nicotinurate,,0.373939926640473,,CSV,,
Soro,1_1H,Sarcosine,,0.587809682404206,,CSV,,
Soro,1_1H,2-Picolinate,,0.651665606634424,,CSV,,
Soro,1_1H,Uridine,HMDB00296,0.696631043336979,,CSV,,
Soro,1_1H,ATP,,0.789337562519016,,CSV,,
Soro,1_1H,Cytosine,,0.834544868454243,,CSV,,
Soro,1_1H,Adenine,,0.970143421134985,,CSV,,
Soro,1_1H,Tyrosine,HMDB00158,0.988427766715709,16.6,CSV,15.611572233284292,94.05
Soro,1_1H,Tartarate,,1.23789789161485,,CSV,,
Soro,1_1H,Quinolinate,,1.48905196263439,,CSV,,
Soro,1_1H,dAMP,,1.61452179219807,,CSV,,
Soro,1_1H,Dimethylglycine,,1.76707934052687,,CSV,,
Soro,1_1H,Pimelate,,1.99843323115525,,CSV,,
Soro,1_1H,Formate,HMDB00142,2.09015733832056,2.7,CSV,0.6098426616794401,22.59
Soro,1_1H,Dimethylamine,HMDB00087,2.21983166131483,,CSV,,
Soro,1_1H,Isobutyrate,,2.22762096848615,,CSV,,
Soro,1_1H,Kynurenate,,2.427194799899,,CSV,,
Soro,1_1H,Glutaconate,,2.43004324589594,,CSV,,
Soro,1_1H,Acetate,HMDB00042,2.71431397187705,24.8,CSV,22.08568602812295,89.06
Soro,1_1H,Oxypurinol,,2.82295189420792,,CSV,,
Soro,1_1H,Long-chain_alkane,,2.91925860157586,,CSV,,
Soro,1_1H,2-HydroxyphenylAcetate,,3.22839568289599,,CSV,,
Soro,1_1H,Citraconate,,3.5444552432005,,CSV,,
Soro,1_1H,Carnosine,HMDB00033,3.55167354869461,,CSV,,
Soro,1_1H,N-Acetyl-L-Aspartate,,3.61215951612477,,CSV,,
Soro,1_1H,Trimethylamine,,3.71282990594555,,CSV,,
Soro,1_1H,beta-Hydroxyisovalerate,,3.98845929691143,,CSV,,
Soro,1_1H,Fructose,HMDB00660,4.02485316016968,,CSV,,
Soro,1_1H,Acetone,HMDB01659,4.10037267738615,2.8,CSV,1.3003726773861501,46.44
Soro,1_1H,Pyrocatechol,,4.30527376284056,,CSV,,
Soro,1_1H,2-Methylglutarate,,4.68657538294339,,CSV,,
Soro,1_1H,3-HydroxyphenylAcetate,,4.69812607766898,,CSV,,
Soro,1_1H,Propionate,,5.35072913253852,,CSV,,
Soro,1_1H,1-Methylhydantoin,,5.94699707403737,,CSV,,
Soro,1_1H,Methylguanidine,,6.03689058988817,,CSV,,
Soro,1_1H,2-Oxoisovalerate,,6.05662366382415,,CSV,,
Soro,1_1H,Methylamine,,6.33955857233311,,CSV,,
Soro,1_1H,1-Methyl-L-Histidine,,6.56432829041155,,CSV,,
Soro,1_1H,trans-Ferulate,,9.46799477937385,,CSV,,
Soro,1_1H,Azelaic ate,,10.4901892326758,,CSV,,
Soro,1_1H,Acetaminophen,,10.8129234795567,,CSV,,
Soro,1_1H,Dimethylsulfone,,11.7339420355635,,CSV,,
Soro,1_1H,Malate,,13.0606659963176,,CSV,,
Soro,1_1H,O-Acetyl-L-Carnitine,,15.1800615082779,,CSV,,
Soro,1_1H,Acetoacetate,HMDB00060,15.2187785921052,3.3,CSV,11.918778592105202,361.18
Soro,1_1H,Phenylglyoxylate,,16.0103710638602,,CSV,,
Soro,1_1H,Glutarate,,16.7460018061632,,CSV,,
Soro,1_1H,Mandelate,,17.4361131185841,,CSV,,
Soro,1_1H,Isovalerate,,17.5459943161054,,CSV,,
Soro,1_1H,Creatine,HMDB00064,17.6105112355092,15.6,CSV,2.0105112355092007,12.89
Soro,1_1H,Anserine,,18.0071842658967,,CSV,,
Soro,1_1H,3-PhenylPropionate,,20.9566764515119,,CSV,,
Soro,1_1H,4-AminoHippurate,,23.3826915335934,,CSV,,
Soro,1_1H,Trans-Acotinate,,23.5790466400921,,CSV,,
Soro,1_1H,Benzoate,,23.9299035924576,3.2,CSV,20.7299035924576,647.81
Soro,1_1H,4-EthylPhenol,,25.3167394513526,,CSV,,
Soro,1_1H,Sebacate,,25.414276305917,,CSV,,
Soro,1_1H,Beta-Alanine,,25.7713990512534,,CSV,,
Soro,1_1H,2-Oxobutyrate,,25.8509369396327,,CSV,,
Soro,1_1H,Adipate,,29.0510406337007,,CSV,,
Soro,1_1H,Phenylalanine,,29.6427584516777,21.4,CSV,8.242758451677702,38.52
Soro,1_1H,Hippurate,HMDB00714,30.2789296246294,,CSV,,
Soro,1_1H,Threitol,,30.8558058652253,,CSV,,
Soro,1_1H,Syringate,,31.3604806904393,,CSV,,
Soro,1_1H,Betaine,HMDB00043,31.8244555830527,6.6,CSV,25.224455583052702,382.19
Soro,1_1H,Maltose,,36.9192604276974,,CSV,,
Soro,1_1H,Valerate,,37.8279840885888,,CSV,,
Soro,1_1H,Uracil,HMDB00300,39.2883075718885,,CSV,,
Soro,1_1H,Glycerophosphocholine,,39.6785353380581,,CSV,,
Soro,1_1H,Ethylmalonate,,40.6396225455245,,CSV,,
Soro,1_1H,Pyruvate,HMDB00243,40.8233219177675,14.5,CSV,26.3233219177675,181.54
Soro,1_1H,alpha-Hydroxyisobutyrate,,41.0113589511485,,CSV,,
Soro,1_1H,Tryptophan,HMDB00929,43.3987257569548,,CSV,,
Soro,1_1H,Phenethylamine,,43.735786824292,,CSV,,
Soro,1_1H,Galactose,,44.309834786076,,CSV,,
Soro,1_1H,Glycogen,,44.4429578786127,,CSV,,
Soro,1_1H,Indoxylsulfate,,45.3727589337841,,CSV,,
Soro,1_1H,GABA,,45.8764453143184,,CSV,,
Soro,1_1H,"1,3-Diaminopropane",,48.6599322238338,,CSV,,
Soro,1_1H,Aspartate,,49.5243280786287,11.0,CSV,38.5243280786287,350.22
Soro,1_1H,Fucose,HMDB00174,50.3828313863758,,CSV,,
Soro,1_1H,2-Propanol,,52.8161479641483,,CSV,,
Soro,1_1H,Succinate,HMDB00254,52.8954599973986,4.1,CSV,48.7954599973986,1190.13
Soro,1_1H,Ornithine,,55.5788202880431,13.1,CSV,42.478820288043096,324.27
Soro,1_1H,trans-4-Hydroxy-L-Proline,,58.8194212193487,,CSV,,
Soro,1_1H,Pantothenate,HMDB00210,60.2409433241426,,CSV,,
Soro,1_1H,Saturated_fattty_acids,,62.9091556897401,,CSV,,
Soro,1_1H,Isocitrate,,63.6886270380789,,CSV,,
