PPM,01RCF_ex1_p1,02RCF_ex1_p1,03RCF_ex1_p1,04RCF_ex1_p1,05RCF_ex1_p1
-4.844563802352949,0.0,0.0,-718.3077593573039,1462.7861474707097,-2507.0147681965077
-4.844464442631217,0.0,0.0,-718.3077593573039,1776.240321928719,-1253.5073840982539
-4.8443650829094835,0.0,0.0,-718.3077593573039,1985.2097715673917,-1253.5073840982539
-4.84426572318775,0.0,0.0,-1436.6155187146078,2089.694496386728,-1253.5073840982539
-4.844166363466016,-1039.9941105730404,0.0,-1436.6155187146078,2194.1792212060645,-1253.5073840982539
-4.844067003744284,-1039.9941105730404,0.0,-1436.6155187146078,2298.663946025401,-1253.5073840982539
-4.84396764402255,-1039.9941105730404,0.0,-1436.6155187146078,2403.1486708447374,-1253.5073840982539
-4.843868284300816,-1039.9941105730404,0.0,-1436.6155187146078,2403.1486708447374,-1253.5073840982539
-4.843768924579084,-1039.9941105730404,-1288.7821441019933,-1436.6155187146078,2507.6333956640738,-1253.5073840982539
-4.8436695648573505,-1039.9941105730404,-1288.7821441019933,-1436.6155187146078,2507.6333956640738,-1253.5073840982539
-4.843570205135617,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2612.11812048341,-1253.5073840982539
-4.843470845413883,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2612.11812048341,-1253.5073840982539
-4.843371485692151,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2612.11812048341,-1253.5073840982539
-4.843272125970417,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2612.11812048341,0.0
-4.843172766248683,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2612.11812048341,0.0
-4.843073406526951,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2612.11812048341,0.0
-4.842974046805217,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2612.11812048341,0.0
-4.842874687083484,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2612.11812048341,0.0
-4.84277532736175,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2612.11812048341,0.0
-4.842675967640018,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2612.11812048341,0.0
-4.842576607918284,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2612.11812048341,0.0
-4.84247724819655,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2507.6333956640738,0.0
-4.842377888474818,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2507.6333956640738,0.0
-4.842278528753084,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2507.6333956640738,0.0
-4.8421791690313505,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2507.6333956640738,0.0
-4.842079809309617,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,2403.1486708447374,-1253.5073840982539
-4.841980449587885,-1039.9941105730404,-2577.5642882039865,-718.3077593573039,2403.1486708447374,-1253.5073840982539
-4.841881089866151,-1039.9941105730404,-2577.5642882039865,-718.3077593573039,2403.1486708447374,-1253.5073840982539
-4.841781730144417,-1039.9941105730404,-2577.5642882039865,-718.3077593573039,2403.1486708447374,-1253.5073840982539
-4.841682370422685,-1039.9941105730404,-2577.5642882039865,-718.3077593573039,2403.1486708447374,-1253.5073840982539
-4.841583010700951,-1039.9941105730404,-3866.3464323059798,-718.3077593573039,2403.1486708447374,-1253.5073840982539
-4.841483650979217,-1039.9941105730404,-3866.3464323059798,-718.3077593573039,2403.1486708447374,-1253.5073840982539
-4.841384291257484,-2079.988221146081,-3866.3464323059798,-718.3077593573039,2403.1486708447374,-1253.5073840982539
-4.841284931535752,-2079.988221146081,-3866.3464323059798,-1436.6155187146078,2403.1486708447374,-1253.5073840982539
-4.841185571814018,-2079.988221146081,-3866.3464323059798,-1436.6155187146078,2403.1486708447374,-1253.5073840982539
-4.841086212092284,-2079.988221146081,-3866.3464323059798,-1436.6155187146078,2403.1486708447374,-1253.5073840982539
-4.840986852370552,-2079.988221146081,-3866.3464323059798,-1436.6155187146078,2403.1486708447374,-1253.5073840982539
-4.840887492648818,-2079.988221146081,-2577.5642882039865,-1436.6155187146078,2298.663946025401,-1253.5073840982539
-4.840788132927084,-2079.988221146081,-2577.5642882039865,-1436.6155187146078,2298.663946025401,-1253.5073840982539
-4.840688773205352,-2079.988221146081,-2577.5642882039865,-2154.9232780719117,2298.663946025401,-1253.5073840982539
-4.8405894134836185,-2079.988221146081,-2577.5642882039865,-2154.9232780719117,2298.663946025401,-1253.5073840982539
-4.840490053761885,-2079.988221146081,-1288.7821441019933,-2154.9232780719117,2298.663946025401,-1253.5073840982539
-4.840390694040151,-2079.988221146081,-1288.7821441019933,-2154.9232780719117,2298.663946025401,-1253.5073840982539
-4.840291334318419,-1039.9941105730404,-1288.7821441019933,-2154.9232780719117,2298.663946025401,-1253.5073840982539
-4.840191974596685,-1039.9941105730404,-1288.7821441019933,-2154.9232780719117,2298.663946025401,-1253.5073840982539
-4.840092614874951,-1039.9941105730404,-1288.7821441019933,-2154.9232780719117,2298.663946025401,-1253.5073840982539
-4.839993255153219,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2298.663946025401,-1253.5073840982539
-4.839893895431485,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2298.663946025401,-1253.5073840982539
-4.839794535709752,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2298.663946025401,-1253.5073840982539
-4.839695175988018,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2298.663946025401,-1253.5073840982539
-4.839595816266286,0.0,-2577.5642882039865,-1436.6155187146078,2298.663946025401,0.0
-4.839496456544552,0.0,-2577.5642882039865,-1436.6155187146078,2194.1792212060645,0.0
-4.839397096822818,0.0,-2577.5642882039865,-1436.6155187146078,2194.1792212060645,0.0
-4.839297737101086,0.0,-2577.5642882039865,-1436.6155187146078,2194.1792212060645,0.0
-4.839198377379352,0.0,-2577.5642882039865,-718.3077593573039,2194.1792212060645,0.0
-4.8390990176576185,-1039.9941105730404,-2577.5642882039865,-718.3077593573039,2194.1792212060645,0.0
-4.838999657935885,-1039.9941105730404,-2577.5642882039865,-718.3077593573039,2194.1792212060645,0.0
-4.838900298214153,-1039.9941105730404,-2577.5642882039865,-718.3077593573039,2298.663946025401,0.0
-4.838800938492419,-1039.9941105730404,-2577.5642882039865,-718.3077593573039,2298.663946025401,0.0
-4.838701578770685,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2298.663946025401,0.0
-4.838602219048953,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2298.663946025401,0.0
-4.838502859327219,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2298.663946025401,0.0
-4.838403499605485,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2194.1792212060645,0.0
-4.838304139883752,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2194.1792212060645,0.0
-4.83820478016202,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2194.1792212060645,0.0
-4.838105420440286,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2194.1792212060645,0.0
-4.838006060718552,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2194.1792212060645,0.0
-4.83790670099682,-1039.9941105730404,-2577.5642882039865,-2154.9232780719117,2194.1792212060645,0.0
-4.837807341275086,-1039.9941105730404,-2577.5642882039865,-2154.9232780719117,2194.1792212060645,0.0
-4.837707981553352,-1039.9941105730404,-2577.5642882039865,-2154.9232780719117,2089.694496386728,0.0
-4.8376086218316185,-1039.9941105730404,-2577.5642882039865,-2154.9232780719117,2089.694496386728,0.0
-4.8375092621098865,-1039.9941105730404,-2577.5642882039865,-2154.9232780719117,2089.694496386728,0.0
-4.837409902388153,-1039.9941105730404,-2577.5642882039865,-1436.6155187146078,2089.694496386728,0.0
-4.837310542666419,-1039.9941105730404,-1288.7821441019933,-1436.6155187146078,1985.2097715673917,0.0
