Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS
Soro,1_1H,Glucose,HMDB00122,3579.63556210069,1197.5
Soro,1_1H,Lactate,HMDB00190,1061.45540894701,777.8
Soro,1_1H,Glutamine,HMDB00641,827.866926946014,146.9
Soro,1_1H,Glycerate,,743.246379720859,
Soro,1_1H,Proline,,743.11033164233,31.8
Soro,1_1H,Glutamate,,622.710099039148,59.7
Soro,1_1H,2-Aminobutyrate,,488.602655210249,5.6
Soro,1_1H,Sorbitol,,428.867300709028,
Soro,1_1H,Lysine,HMDB00182,394.199843961683,57.9
Soro,1_1H,Galactitol,,368.381538015297,
Soro,1_1H,Glycerol,,313.070647293335,70.9
Soro,1_1H,Methanol,,267.555205475398,24.6
Soro,1_1H,D-Glucuronate,,253.163216965403,
Soro,1_1H,Leucine,HMDB00687,247.391286361861,33.4
Soro,1_1H,Carnitine,HMDB00062,247.173385733154,11.7
Soro,1_1H,Xylitol,HMDB02917,245.24771834259,
Soro,1_1H,Taurine,HMDB00251,226.429257914667,53.1
Soro,1_1H,Ascorbate,,226.391290795812,
Soro,1_1H,Cystine,,224.430584630589,
Soro,1_1H,Methylmalonate,,213.662818020665,
Soro,1_1H,Citrulline,,188.427559000315,
Soro,1_1H,Guanidinoacetate,,181.459653819165,
Soro,1_1H,Mannose,,175.459757626102,19.1
Soro,1_1H,Arginine,,174.923042476634,39.9
Soro,1_1H,Dihydrothymine,,168.048060764475,
Soro,1_1H,2-AminoAdipate,,163.010820631738,
Soro,1_1H,4-HydroxyphenylAcetate,,153.537323322365,
Soro,1_1H,3-Hydroxybutyrate,HMDB00357,137.095755851367,18.2
Soro,1_1H,Threonine,HMDB00167,121.228738918653,33.0
Soro,1_1H,N-Acetylglycine,,115.736530330455,
Soro,1_1H,Valine,HMDB00883,114.146490245043,60.9
Soro,1_1H,3-Methyladipate,,111.656358814161,
Soro,1_1H,Citrate,HMDB00094,110.85042357888,28.0
Soro,1_1H,Cadaverine,,110.689784143926,
Soro,1_1H,2-Oxoglutarate,HMDB00208,106.648190536928,2.9
Soro,1_1H,Putrescine,,104.819767101851,
Soro,1_1H,5-AminoValerate,,103.412706490673,
Soro,1_1H,Arabitol,,98.0418594089706,
Soro,1_1H,PropyleneGlycol,,95.1440842527963,
Soro,1_1H,Phosphocholine,,92.9371633413705,
Soro,1_1H,Glycine,HMDB00123,86.8127783079011,102.1
Soro,1_1H,Myo-Inositol,,82.2896495767378,
Soro,1_1H,Spermidine,,80.4376880820859,
Soro,1_1H,Isoleucine,HMDB00172,78.586025088064,15.6
Soro,1_1H,Alanine,HMDB00161,78.2007721999727,101.6
Soro,1_1H,3-Methyl-L-Histidine,,76.7755286005286,
Soro,1_1H,Hypotaurine,,75.5006739164321,
Soro,1_1H,CholineChloride,,68.1646700820944,
Soro,1_1H,7-Methylxanthine,,67.3710838484975,
Soro,1_1H,3-Methylxanthine,,66.837743882022,
Soro,1_1H,DehydroAscorbate,,65.2061208038257,
Soro,1_1H,Isocitrate,,63.6886270380789,
Soro,1_1H,Saturated_fattty_acids,,62.9091556897401,
Soro,1_1H,Pantothenate,HMDB00210,60.2409433241426,
Soro,1_1H,trans-4-Hydroxy-L-Proline,,58.8194212193487,
Soro,1_1H,Ornithine,,55.5788202880431,13.1
Soro,1_1H,Succinate,HMDB00254,52.8954599973986,4.1
Soro,1_1H,2-Propanol,,52.8161479641483,
Soro,1_1H,Fucose,HMDB00174,50.3828313863758,
Soro,1_1H,Aspartate,,49.5243280786287,11.0
Soro,1_1H,"1,3-Diaminopropane",,48.6599322238338,
Soro,1_1H,GABA,,45.8764453143184,
Soro,1_1H,Indoxylsulfate,,45.3727589337841,
Soro,1_1H,Glycogen,,44.4429578786127,
Soro,1_1H,Galactose,,44.309834786076,
Soro,1_1H,Phenethylamine,,43.735786824292,
Soro,1_1H,Tryptophan,HMDB00929,43.3987257569548,
Soro,1_1H,alpha-Hydroxyisobutyrate,,41.0113589511485,
Soro,1_1H,Pyruvate,HMDB00243,40.8233219177675,14.5
Soro,1_1H,Ethylmalonate,,40.6396225455245,
Soro,1_1H,Glycerophosphocholine,,39.6785353380581,
Soro,1_1H,Uracil,HMDB00300,39.2883075718885,
Soro,1_1H,Valerate,,37.8279840885888,
Soro,1_1H,Maltose,,36.9192604276974,
Soro,1_1H,Betaine,HMDB00043,31.8244555830527,6.6
Soro,1_1H,Syringate,,31.3604806904393,
Soro,1_1H,Threitol,,30.8558058652253,
Soro,1_1H,Hippurate,HMDB00714,30.2789296246294,
Soro,1_1H,Phenylalanine,,29.6427584516777,21.4
Soro,1_1H,Adipate,,29.0510406337007,
Soro,1_1H,2-Oxobutyrate,,25.8509369396327,
Soro,1_1H,Beta-Alanine,,25.7713990512534,
Soro,1_1H,Sebacate,,25.414276305917,
Soro,1_1H,4-EthylPhenol,,25.3167394513526,
Soro,1_1H,Benzoate,,23.9299035924576,3.2
Soro,1_1H,Trans-Acotinate,,23.5790466400921,
Soro,1_1H,4-AminoHippurate,,23.3826915335934,
Soro,1_1H,3-PhenylPropionate,,20.9566764515119,
Soro,1_1H,Anserine,,18.0071842658967,
Soro,1_1H,Creatine,HMDB00064,17.6105112355092,15.6
Soro,1_1H,Isovalerate,,17.5459943161054,
Soro,1_1H,Mandelate,,17.4361131185841,
Soro,1_1H,Glutarate,,16.7460018061632,
Soro,1_1H,Phenylglyoxylate,,16.0103710638602,
Soro,1_1H,Acetoacetate,HMDB00060,15.2187785921052,3.3
Soro,1_1H,O-Acetyl-L-Carnitine,,15.1800615082779,
Soro,1_1H,Malate,,13.0606659963176,
Soro,1_1H,Dimethylsulfone,,11.7339420355635,
Soro,1_1H,Acetaminophen,,10.8129234795567,
Soro,1_1H,Azelaic ate,,10.4901892326758,
Soro,1_1H,trans-Ferulate,,9.46799477937385,
Soro,1_1H,1-Methyl-L-Histidine,,6.56432829041155,
Soro,1_1H,Methylamine,,6.33955857233311,
Soro,1_1H,2-Oxoisovalerate,,6.05662366382415,
Soro,1_1H,Methylguanidine,,6.03689058988817,
Soro,1_1H,1-Methylhydantoin,,5.94699707403737,
Soro,1_1H,Propionate,,5.35072913253852,
Soro,1_1H,3-HydroxyphenylAcetate,,4.69812607766898,
Soro,1_1H,2-Methylglutarate,,4.68657538294339,
Soro,1_1H,Pyrocatechol,,4.30527376284056,
Soro,1_1H,Acetone,HMDB01659,4.10037267738615,2.8
Soro,1_1H,Fructose,HMDB00660,4.02485316016968,
